epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,17790.7,1.1986,0.8792,1.30711,0.76102,0.82059,0.83739,0.49829,1.38288,0.81243,1.41477,0.00786667,0.00786667,0.00786667
82,17934.3,1.20711,0.88719,1.3111,0.79249,0.80615,0.85261,0.49668,1.38682,0.82093,1.42222,0.00784,0.00784,0.00784
83,18154.1,1.19668,0.88037,1.3069,0.76995,0.79433,0.85424,0.50087,1.38902,0.82207,1.42894,0.00781333,0.00781333,0.00781333
84,18301.7,1.19934,0.88439,1.30238,0.78757,0.78007,0.83361,0.50131,1.37655,0.82554,1.42272,0.00778667,0.00778667,0.00778667
85,18508.7,1.19335,0.87041,1.30112,0.78904,0.76926,0.8352,0.49655,1.38617,0.82361,1.42351,0.00776,0.00776,0.00776
86,18612.8,1.18851,0.87719,1.29924,0.7831,0.79669,0.83587,0.49135,1.4065,0.83464,1.42932,0.00773333,0.00773333,0.00773333
87,18776.9,1.17985,0.87651,1.29659,0.75337,0.80159,0.82977,0.49708,1.40107,0.82345,1.44901,0.00770667,0.00770667,0.00770667
88,19002.3,1.18655,0.86857,1.30271,0.76071,0.79669,0.82646,0.49276,1.39753,0.82762,1.44966,0.00768,0.00768,0.00768
89,19243.8,1.18608,0.85638,1.30162,0.7715,0.79023,0.83856,0.49759,1.39976,0.80839,1.43838,0.00765333,0.00765333,0.00765333
90,19426.6,1.17766,0.86095,1.29812,0.77948,0.82033,0.84761,0.49888,1.42151,0.80787,1.4638,0.00762667,0.00762667,0.00762667
91,19630.8,1.18364,0.86517,1.30068,0.76986,0.80142,0.85087,0.49782,1.42185,0.81901,1.45859,0.0076,0.0076,0.0076
92,19808.5,1.16654,0.85573,1.28203,0.74957,0.83497,0.85801,0.50625,1.41232,0.80059,1.44846,0.00757333,0.00757333,0.00757333
93,20027.3,1.16246,0.84644,1.28235,0.79038,0.79433,0.85098,0.49828,1.39677,0.80071,1.45115,0.00754667,0.00754667,0.00754667
94,20204.6,1.15354,0.84816,1.28911,0.80116,0.80378,0.85999,0.50423,1.40329,0.79695,1.44648,0.00752,0.00752,0.00752
95,20445.6,1.15372,0.83479,1.28869,0.80298,0.80935,0.85528,0.50896,1.3901,0.79344,1.43847,0.00749333,0.00749333,0.00749333
